TimeStamp,GroundSteering,Oracle,Good,Elapsed
1584543081338638,0.000869694,-0,0,37992572
1584543081438920,0.0374128,-0,0,38092854
1584543081538800,0.076519,-0,0,38192734
1584543081639642,0.0820894,-0,0,38293576
1584543081740772,0.0847991,-0,0,38394706
1584543081839072,0.097028,-0,0,38493006
1584543081938540,0.0882203,0.0209952,0,38592474
1584543082038508,0.097865,0.149949,0,38692442
1584543082138732,0.0986568,0.158951,0,38792666
1584543082240800,0.0986438,0.119961,1,38894734
1584543082338732,0.0958902,0.0959743,1,38992666
1584543082438788,0.111867,0.029997,0,39092722
1584543082538471,0.128598,0.00300058,0,39192405
1584543082639371,0.144004,0.00300058,0,39293305
1584543082740704,0.151505,0.00300058,0,39394638
1584543082838394,0.137511,0.0629856,0,39492328
1584543082938622,0.112156,0.0629856,0,39592556
1584543083038537,0.0861817,0.0629856,0,39692471
1584543083138377,0.151902,0.104967,0,39792311
1584543083240321,0.216041,0.104967,0,39894255
1584543083338536,0.225371,0.134955,0,39992470
1584543083438265,0.193333,0.197932,1,40092199
1584543083541140,0.154922,0.200933,1,40195074
1584543083639330,0.175278,0.194931,1,40293264
1584543083740244,0.161462,0.131955,1,40394178
1584543083838391,0.177538,0.0599851,0,40492325
1584543083938391,0.204533,0.0209952,0,40592325
1584543084038632,0.170042,0.0209952,0,40692566
1584543084138163,0.133896,0.0239958,0,40792097
1584543084240446,0.0666461,0.0389898,0,40894380
1584543084338121,0.0665283,0.0749791,1,40992055
1584543084438109,0.0628091,0.0749791,1,41092043
1584543084538266,0.101668,0.0749791,0,41192200
1584543084638732,0.100988,0.0749791,0,41292666
1584543084740115,0.129833,0.0719785,0,41394049
1584543084838216,0.081575,0.0659773,1,41492150
1584543084938229,0.143081,0.0659773,0,41592163
1584543085038243,0.149128,0.0659773,0,41692177
1584543085138268,0.1944,0.0659773,0,41792202
1584543085240099,0.136591,0.0659773,0,41894033
1584543085337929,0.113216,0.0659773,0,41991863
1584543085438166,0.0774205,0.0659773,1,42092100
1584543085538103,0.0974825,0.0659773,0,42192037
1584543085638530,0.117581,0.0689779,0,42292464
1584543085740201,0.122662,0.0689779,0,42394135
1584543085838149,0.10865,0.0689779,0,42492083
1584543085938020,0.0752984,0.0659773,1,42591954
1584543086038337,0.0968417,0.0689779,0,42692271
1584543086137855,0.160374,0.0689779,0,42791789
1584543086240252,0.219568,0.0689779,0,42894186
1584543086338042,0.190185,0.0689779,0,42991976
1584543086437754,0.189934,0.0689779,0,43091688
1584543086537801,0.137017,0.0689779,0,43191735
1584543086638755,0.143308,0.0689779,0,43292689
1584543086739975,0.0720056,0.0689779,1,43393909
1584543086837867,0.0942721,0.0599851,0,43491801
1584543086938113,0.0923781,0.0239958,0,43592047
1584543087038050,0.091824,-0,0,43691984
1584543087138269,0.0650259,-0,0,43792203
1584543087240128,0.0256512,-0,0,43894062
1584543087337616,-0.00680764,-0,0,43991550
1584543087437498,-0.0525586,-0,0,44091432
1584543087537747,-0.0189445,-0,0,44191681
1584543087638390,-0.0261993,-0,0,44292324
1584543087739330,-0.0394002,-0,0,44393264
1584543087837714,-0.0730252,-0,0,44491648
1584543087937470,-0.0710562,-0,0,44591404
1584543088037518,-0.0785385,-0,0,44691452
1584543088137674,-0.0849608,-0.0659685,0,44791608
1584543088239579,-0.126024,-0.0599762,0,44893513
1584543088337405,-0.102255,-0,0,44991339
1584543088437569,-0.0939708,-0,0,45091503
1584543088540098,0.00467252,-0,0,45194032
1584543088638605,0.0425982,-0,0,45292539
1584543088739576,0.0749827,-0,0,45393510
1584543088837397,0.0241375,-0,0,45491331
1584543088937298,-0.00910728,-0,0,45591232
1584543089037505,-0.0604591,-0,0,45691439
1584543089137456,-0.120232,-0,0,45791390
1584543089239504,-0.0797797,-0,0,45893438
1584543089337669,-0.0301847,-0,0,45991603
1584543089438043,0.0477412,-0,0,46091977
1584543089537406,0.0589067,-0,0,46191340
1584543089638109,0.0785044,-0,0,46292043
1584543089739615,0.108812,-0,0,46393549
1584543089837911,0.112842,-0,0,46491845
1584543089937487,0.0956096,0.0599851,0,46591421
1584543090037192,0.0975292,0.098966,1,46691126
1584543090137069,0.103914,0.101967,1,46791003
1584543090238995,0.129989,0.101967,0,46892929
1584543090336983,0.134592,0.0929737,0,46990917
1584543090437086,0.0479658,0.0719785,0,47091020
